id,healing_event_id,step_name,ui_version,attr_score,sem_score,struct_score,visual_score,ctx_score,total_score,cand_tag,cand_testid,cand_text,is_correct,recorded_at
95,25,filter_macbook_button,v4,0.758,0.6785,0.7471,0.5373,0.764,0.7287,button,v4-btn-filter-all,TẤT CẢ,0,2026-05-26 11:28:02
96,25,filter_macbook_button,v4,0.7467,0.62,0.7957,0.5373,0.764,0.7186,button,,Đăng xuất,0,2026-05-26 11:28:02
97,26,filter_airpods_button,v4,0.7746,1.0,0.7721,0.5401,0.764,0.8483,button,v4-btn-filter-airpods,AIRPODS,1,2026-05-26 11:28:34
98,26,filter_airpods_button,v4,0.7616,0.7954,0.7596,0.5394,0.764,0.7722,button,v4-btn-filter-iphone,IPHONE,0,2026-05-26 11:28:34
99,26,filter_airpods_button,v4,0.7606,0.7582,0.7891,0.5529,0.764,0.7678,button,v4-btn-filter-ipad,IPAD,0,2026-05-26 11:28:34
100,26,filter_airpods_button,v4,0.7567,0.7286,0.7471,0.5415,0.764,0.7447,button,v4-btn-filter-macbook,MACBOOK,0,2026-05-26 11:28:34
101,26,filter_airpods_button,v4,0.7467,0.62,0.7832,0.5387,0.764,0.7151,button,,Đăng xuất,0,2026-05-26 11:28:34
102,26,filter_airpods_button,v4,0.7648,0.696,0.6574,0.5327,0.764,0.712,button,v4-btn-edit-6a1484639d2ea9edeb0b33b2,Sửa,0,2026-05-26 11:28:34
103,27,filter_Tất cả_button,v4,0.7732,1.0,0.7891,0.6236,0.764,0.8525,button,v4-btn-filter-all,TẤT CẢ,1,2026-05-26 11:29:08
104,27,filter_Tất cả_button,v4,0.7467,0.7213,0.7627,0.5404,0.764,0.7428,button,,Đăng xuất,0,2026-05-26 11:29:08
105,27,filter_Tất cả_button,v4,0.758,0.6785,0.7721,0.6697,0.764,0.7357,button,v4-btn-filter-macbook,MACBOOK,0,2026-05-26 11:29:08
106,27,filter_Tất cả_button,v4,0.7657,0.7044,0.6995,0.5418,0.764,0.7269,button,v4-btn-delete-6a0d531fd7e08f5e9abf614b,Xóa sản phẩm,0,2026-05-26 11:29:08
107,27,filter_Tất cả_button,v4,0.7657,0.7044,0.6995,0.5418,0.764,0.7269,button,v4-btn-delete-6a0d531fd7e08f5e9abf6166,Xóa sản phẩm,0,2026-05-26 11:29:08
108,27,filter_Tất cả_button,v4,0.7657,0.7044,0.6995,0.5418,0.764,0.7269,button,v4-btn-delete-6a0d531fd7e08f5e9abf6174,Xóa sản phẩm,0,2026-05-26 11:29:08
109,28,email_field,v5,0.93,1.0,0.83,0.6329,0.764,0.9251,input,,,1,2026-05-26 11:29:21
110,28,email_field,v5,0.3633,1.0,0.7332,0.5411,0.764,0.677,input,,,0,2026-05-26 11:29:21
111,29,password_field,v5,0.93,1.0,0.83,0.5889,0.764,0.9251,input,,,1,2026-05-26 11:29:22
112,29,password_field,v5,0.3633,0.95,0.7332,0.7211,0.764,0.6605,input,,,0,2026-05-26 11:29:22
113,30,login_button,v5,0.93,1.0,0.9625,0.5788,0.764,0.9622,button,,Đăng nhập,1,2026-05-26 11:29:22
114,31,search_input,v5,0.64,1.0,0.7286,0.673,0.764,0.7836,input,,,1,2026-05-26 11:29:25
115,32,filter_iphone_button,v5,0.93,1.0,0.88,0.6656,0.764,0.9391,button,,IPHONE,1,2026-05-26 11:29:57
116,32,filter_iphone_button,v5,0.93,0.7954,0.8376,0.579,0.764,0.8597,button,,AIRPODS,0,2026-05-26 11:29:57
